OBJ_ID,Permit number - API,Well Type,Well Status,Well_GIS_Status,County,Township,Company,Well_OP_Address,Well_CompanyPHONE,Elevation,DU_ACRES,Well_WH_LAT,Well_WH_LONG,Well Latitude,Well Longitude,Well_BH_LAT,Well_BH_LONG,Bottom Hole Latitude,Bottom Hole Longitude,Slant,Well_ProposedFormations,Well Name,Well Number,Well_IP_GAS,Well_IP_OIL,Well_Total_Depth,Well_Date_Approved,Well_Date_Complete,Well_Date_Plugged,Producing Formation,SecondProdFormation,DeepestFormation,Well_PDF_Link,GeoPhysLogs,Utica_Shale,Marcellus_Shale,MapSymble,Well_Well_Status,Well_Operator,Well_Lease_Name,Well_Location_ID,WELL_TYP,Well_CompanyADDR1,Well_CompanyADDR2,Well_CompanyCITY,Well_CompanyZIP1,Heel Longitude,Heel Latitude,Last_Inspection_Date,Last_Nonzero_Production_Year,Last_Production_Quarter,Orphan Well Program Status,x,y,lat_rad,lon_rad,lat_delta,is_horizontal,years_since_approved,age_category,prod_change
92114,34083200000000.0,Gas,Producing,Producing,KNOX,BUTLER,VALLEY PETROLEUM MANAGEMENT,"25010 DIVAN RD UTICA, OH 43080",7406684901,989.0,,40.34307483,-82.24048314,40.343141,-82.240358,,,0.0,0.0,V,,RAYMOND D GIFFIN #6113,1,0.0,0.0,2992.0,,1936-06-23,,BEREA SANDSTONE,CLINTON SAND,CLINTON SAND,083\34083200920000.pdf,,0,0,gas,PR,VALLEY PETROLEUM MANAGEMENT,GIFFIN RAYMOND D,34083200000000.0,OG_R,25010 DIVAN RD,,UTICA,43080,,,,2024.0,0/2024,,2040882.067,853566.2356,0.7041206410463178,-1.4353650251188588,40.343141,1,,,0.0
239227,34173600000000.0,Plugged oil,Plugged and Abandoned,Drilled,WOOD,PERRYSBURG,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,652.0,,41.4967471,-83.61129459,41.496799,-83.611228,,,0.0,0.0,V,,DEVERNA  MINNIE MAE 6,6,,1.0,,,1900-01-02,1955-11-15 00:00:00,TRENTON LIMESTONE,,TRENTON LIMESTONE,173\34173605790000.pdf,,0,0,pl_oil,PA,HISTORIC OWNER,DEVERNA  MINNIE MAE,34173600000000.0,OG_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,,,,,1663897.389,1275797.025,0.7242557715882905,-1.4592912202356734,41.496799,1,,,0.0
214447,34163200000000.0,Plugged oil and gas,Final Restoration,Drilled,VINTON,SWAN,BELDEN & BLAKE CORPORATION,"5200 STONEHAM RD/PO BOX 2500 NORTH CANTON, OH 44720",3304991660,910.0,20.0,39.38436789,-82.46939699,39.384436,-82.469275,,,0.0,0.0,V,,B. DAVIS # 9-2317,9,47.0,1.0,2942.0,1987-05-04 00:00:00,1982-05-09,1987-05-27 00:00:00,CLINTON GROUP,,QUEENSTON FORMATION,163\34163207340000.pdf,Paper,0,0,pl_oil_gas,FR,BELDEN & BLAKE CORPORATION,DAVIS B,34163200000000.0,OG_R,5200 STONEHAM RD/PO BOX 2500,,NORTH CANTON,44720,,,1999-12-08 00:00:00,1986.0,0/1986,,1977184.247,504235.0262,0.6873880822409855,-1.4393603804826465,39.384436,1,38.0,21–40,0.0
211258,34157200000000.0,Oil and gas,Producing,Producing,TUSCARAWAS,WAYNE,OWS ACQUISITION CO LLC,"2321 Energy Dr Louisville, OH 44641",+1 (330) 602-5551,1000.0,40.0,40.60418816,-81.6522413,40.604249,-81.65209,,,0.0,0.0,V,,RABER-YODER #1,1-A,75.0,2.0,4293.0,1984-07-24 00:00:00,1984-09-14,,CLINTON SAND,,QUEENSTON FORMATION,157\34157239450000.pdf,Paper,0,0,oil_gas,PR,OWS ACQUISITION CO LLC,YODER -RABER,34157200000000.0,OG_R,2321 Energy Dr,,Louisville,44641,,,2025-10-06 00:00:00,2024.0,0/2024,,2203980.829,949704.8144,0.708677835349615,-1.4250978116347368,40.604249,1,41.0,40+,38.0
124376,34103600000000.0,,Final Restoration,Drilled,MEDINA,CHATHAM,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,,,,,41.10933,-82.037823,,,,,V,,Neilson     7 D,7 D,,,,,1900-01-02,2024-10-08 00:00:00,,,,nowellcard.htm,,0,0,pl_unknown,FR,HISTORIC OWNER,Neilson,34103600000000.0,OG_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,2025-05-05 00:00:00,,,Federal Plugged,2095914.583,1132996.43,0.7174931617888806,-1.431830122518332,,0,,,0.0
129544,34100000000000.0,Gas,Unknown status,Unknown,MERCER,FRANKLIN,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,900.0,,40.47105818,-84.52773629,40.471105,-84.527691,,,0.0,0.0,V,,,,,,,,1900-01-02,,,,,nowellcard.htm,,0,0,gas,UN,HISTORIC OWNER,,34100000000000.0,UN_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,,,,,1404321.154,906420.1736,0.7063540341703397,-1.4752865170583782,40.471105,1,,,0.0
223370,34167300000000.0,Oil and gas,Producing,Producing,WASHINGTON,DUNHAM,Cross River Energy Inc,"119 Spence Rd.  Belpre, OH 45714",+1 (423) 470-2061,830.0,20.0,39.32454112,-81.62792595,39.324616,-81.627776,,,0.0,0.0,V,,T E WAGGONER # 2,2,45.0,1.0,2073.0,1987-10-30 00:00:00,1987-12-03,,BEREA SANDSTONE,,OHIO SHALE,167\34167285390000.pdf,,0,0,oil_gas,PR,Cross River Energy Inc,WAGGONER TF,34167300000000.0,OG_R,119 Spence Rd.,,Belpre,45714,,,2015-10-07 00:00:00,2023.0,0/2024,,2215235.78,483637.4443,0.6863440262824424,-1.4246734522804068,39.324616,1,38.0,21–40,0.0
31011,34019200000000.0,Oil and gas,Producing,Producing,CARROLL,UNION,EAP OHIO LLC,"14701 Bogert Parkway   Oklahoma City, OK -2646",+1 (405) 968-3447,1126.0,1147.494995,,,40.549987,-81.143568,,,40.594774,-81.176626,H,UTICASHALE,Snyder CR UNI     3H,3H,0.0,0.0,26533.0,2024-10-15 00:00:00,2025-01-02,,,,POINT PLEASANT FORMATION,nowellcard.htm,,1,0,oil_gas,PR,EAP OHIO LLC,Snyder CR UNI,34019200000000.0,OG_R,14701 Bogert Parkway,,Oklahoma City,73134-2646,-81.143905,40.549496,2025-08-21 00:00:00,2025.0,Feb-25,,2345495.483,931658.9279,0.7077307847908979,-1.4162224284159102,0.044786999999999466,1,1.0,0–5,2.0
192320,34147600000000.0,Oil,Unknown status,Unknown,SENECA,JACKSON,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,742.0,,41.21541744,-83.39866736,41.215471,-83.398593,,,0.0,0.0,V,,,,,,,,1900-01-02,,,,,nowellcard.htm,,0,0,oil,UN,HISTORIC OWNER,,34147600000000.0,UN_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,2004-02-23 00:00:00,,,,1721160.736,1172590.795,0.7193456717102398,-1.4555800393806955,41.215471,1,,,0.0
49338,34043200000000.0,Dry hole,Final Restoration,Drilled,ERIE,FLORENCE,SUN EXPLORATION & PROD CO,"PO BOX 2880 DALLAS, TX 75221",5178395800,823.0,160.0,41.30731174,-82.35968575,41.307361,-82.359572,,,0.0,0.0,V,,KNIGHT     2,2,0.0,0.0,1887.0,1973-11-30 00:00:00,1973-11-28,1973-11-30 00:00:00,,,CLINTON SAND,043\34043200590000.pdf,Paper,0,0,dry,FR,SUN EXPLORATION & PROD CO,KNIGHT WM,34043200000000.0,OG_R,PO BOX 2880,,DALLAS,75221,,,,,,,2007101.576,1204887.625,0.7209494547598974,-1.4374457019333313,41.307361,1,52.0,40+,0.0
204825,34155200000000.0,Gas,Producing,Producing,TRUMBULL,FOWLER,NICULA JOHN & MARY,"5077 WILSON SHARPSVILLE FOWLER, OH 44418",3306378416,1062.0,40.0,41.31321609,-80.63465819,41.313272,-80.634456,,,0.0,0.0,V,,NICULA # 1,1,450.0,0.0,4830.0,1980-12-03 00:00:00,1981-01-23,,CLINTON GROUP,,QUEENSTON FORMATION,155\34155216350000.pdf,Paper.tif,0,0,gas,PR,NICULA JOHN & MARY,NICULA,34155200000000.0,OG_R,5077 WILSON SHARPSVILLE,,FOWLER,44418,,,,1992.0,0/1992,,2481229.609,1212309.136,0.7210526211719828,-1.4073367477544967,41.313272,1,45.0,40+,0.0
91929,34081600000000.0,Plugged gas,Plugged and Abandoned,Drilled,JEFFERSON,WELLS,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,720.0,,40.22979476,-80.66409938,40.229865,-80.663899,,,0.0,0.0,V,,WADDEL C R 5,5,1.0,,,,1900-01-02,1917-04-04 00:00:00,,,,081\34081619990000.pdf,,0,0,pl_gas,PA,HISTORIC OWNER,WADDEL C R,34081600000000.0,OG_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,,,,,2481166.203,817405.18,0.7021436018828285,-1.4078506250461615,40.229865,1,,,0.0
84603,34075200000000.0,Expired permit,Permit Expired,,HOLMES,RICHLAND,SEVILLE DRILLING CORP,"*** 1011 W 103RD ST CENTERRE KANSAS CITY, MO 64114",9146232932,1040.0,20.0,40.45741765,-82.15611423,40.457482,-82.15599,,,0.0,0.0,V,,PHILLIP HOLT # 2-S,2-S,0.0,0.0,0.0,1982-12-22 00:00:00,,,,,,075\34075239940000.pdf,,0,0,ex_permit,EX,SEVILLE DRILLING CORP,HOLT PHILLIP,34075200000000.0,OG_R,*** 1011 W 103RD ST CENTERRE,,KANSAS CITY,64114,,,,,,,2064243.065,895304.1715,0.7061162679663405,-1.4338925257355362,40.457482,1,43.0,40+,0.0
155695,34119200000000.0,Plugged gas,Final Restoration,Drilled,MUSKINGUM,JEFFERSON,LEADER EQUITIES INC,"4770 INDIANOLA AVE COLUMBUS, OH 43214",8889588,710.0,22.0,40.09912733,-82.01073624,40.099196,-82.010595,,,0.0,0.0,V,,KENNETH MARTIN # 6-5131,3,150.0,0.0,3498.0,1988-12-13 00:00:00,1971-06-15,1989-05-22 00:00:00,CLINTON SAND,,GASPORT DOLOMITE,119\34119225120000.pdf,Paper,0,0,pl_gas,FR,LEADER EQUITIES INC,MARTIN SAMUEL,34119200000000.0,OG_R,4770 INDIANOLA AVE,,COLUMBUS,43214,,,2007-04-06 00:00:00,1989.0,0/1989,,2105415.774,764960.1737,0.6998629976025401,-1.431354904269599,40.099196,1,37.0,21–40,0.0
128502,34105600000000.0,Plugged gas,Plugged and Abandoned,Drilled,MEIGS,RUTLAND,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,620.0,,39.0490316,-82.11605417,39.049109,-82.115921,,,0.0,0.0,V,,MUTCHLER FLORENCE 3,3,,,754.0,1933-01-01 19:59:00,1933-09-23,1949-09-08 00:00:00,1ST COW RUN SANDSTONE,,COAL - GENERIC,105\34105604290000.pdf,,0,0,pl_gas,PA,HISTORIC OWNER,MUTCHLER FLORENCE,34105600000000.0,OG_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,,,,,2077576.901,382334.203,0.6815355220201504,-1.4331931897575545,39.049109,1,92.0,40+,0.0
