OBJ_ID,Permit number - API,Well Type,Well Status,Well_GIS_Status,County,Township,Company,Well_OP_Address,Well_CompanyPHONE,Elevation,DU_ACRES,Well_WH_LAT,Well_WH_LONG,Well Latitude,Well Longitude,Well_BH_LAT,Well_BH_LONG,Bottom Hole Latitude,Bottom Hole Longitude,Slant,Well_ProposedFormations,Well Name,Well Number,Well_IP_GAS,Well_IP_OIL,Well_Total_Depth,Well_Date_Approved,Well_Date_Complete,Well_Date_Plugged,Producing Formation,SecondProdFormation,DeepestFormation,Well_PDF_Link,GeoPhysLogs,Utica_Shale,Marcellus_Shale,MapSymble,Well_Well_Status,Well_Operator,Well_Lease_Name,Well_Location_ID,WELL_TYP,Well_CompanyADDR1,Well_CompanyADDR2,Well_CompanyCITY,Well_CompanyZIP1,Toe Longitude,Toe Latitude,Heel Longitude,Heel Latitude,OWPS Description,Last_Inspection_Date,Last_Nonzero_Production_Year,Last_Production_Quarter,Orphan Well Program Status,x,y
35138,3.40296E+13,Plugged oil,Final Restoration,Drilled,COLUMBIANA,KNOX,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,1138,NA,40.8519145,-81.02600097,40.851971,-81.025812,NA,NA,0,0,V,NA,HOFER OTTO 11,11,NA,1,NA,NA,1/1/1909 0:00,8/26/2021 0:00,NA,NA,NA,029\34029610210000.pdf,NA,0,0,pl_oil,FR,HISTORIC OWNER,HOFER OTTO,3.40296E+13,OG_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,11/23/2021 0:00,NA,NA,Traditional Plugged,2376424.337,1042201.394
64518,3.40636E+13,Plugged gas,Final Restoration,Drilled,HANCOCK,DELAWARE,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,895,NA,40.83000068,-83.57935099,40.830055,-83.57928,NA,NA,0,0,V,NA,ODOT PROJECT     1,1,NA,NA,600,NA,1/2/1900 0:00,6/28/2005 0:00,NA,NA,NA,nowellcard.htm,NA,0,0,pl_gas,FR,HISTORIC OWNER,ODOT PROJECT,3.40636E+13,OG_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,9/22/2005 0:00,NA,NA,NA,1669749.514,1032669.951
45096,3.40316E+13,NA,Plugged and Abandoned,Drilled,COSHOCTON,VIRGINIA,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,912,NA,40.19264342,-81.9914301,40.192714,-81.991288,NA,NA,NA,NA,V,NA,LAIDLAW WASTE SYSTEMS,SB-16,NA,NA,102,NA,1/2/1900 0:00,NA,NA,NA,NA,nowellcard.htm,NA,0,0,pl_stratigraphic,PA,HISTORIC OWNER,LAIDLAW WASTE SYSTEMS,3.40316E+13,ST_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,NA,NA,NA,NA,2110625.104,799058.4851
159301,3.41193E+13,Plugged gas,Final Restoration,Drilled,MUSKINGUM,NEWTON,MILLER KEN SUPPLY INC,"PO BOX 1086 WOOSTER, OH 44691",3302649146,930,20,39.88564555,-82.14372911,39.885713,-82.143594,NA,NA,0,0,V,NA,GEORGE J & ADELE C ELLIS # 7,7,400,0,3400,11/16/1987 0:00,7/5/1982 0:00,12/9/1987 0:00,CLINTON SAND,NA,CLINTON SAND,119\34119261250000.pdf,NA,0,0,pl_gas,FR,MILLER KEN SUPPLY INC,ELLIS G J & A C,3.41193E+13,OG_R,PO BOX 1086,NA,WOOSTER,44691,NA,NA,NA,NA,NA,NA,1985,0/1987,NA,2068515.199,687018.2895
173768,3.41272E+13,Gas,Producing,Producing,PERRY,PLEASANT,Eco Power Crypto LLC,"4582 KINGWOOD DR  KINGWOOD, TX 77345",832-954-9711,985,NA,39.66221646,-82.12313833,39.662286,-82.123005,NA,NA,0,0,V,NA,WILSON THOMAS A     1,1,350,NA,3826,NA,12/11/1951 0:00,NA,CLINTON SAND,NA,BEREA SANDSTONE,127\34127215640000.pdf,NA,0,0,gas,PR,Eco Power Crypto LLC,LEWIS BERTHA,3.41272E+13,OG_R,4582 KINGWOOD DR,NA,KINGWOOD,77345,NA,NA,NA,NA,NA,NA,2016,0/2022,NA,2074632.665,605657.5743
67845,3.40637E+13,Plugged oil,Plugged and Abandoned,Drilled,HANCOCK,ORANGE,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,857,NA,40.86739462,-83.8577754,40.867447,-83.857714,NA,NA,0,0,V,NA,NA,14,NA,NA,NA,NA,1/2/1900 0:00,NA,NA,NA,NA,nowellcard.htm,NA,0,0,pl_oil,PA,HISTORIC OWNER,NA,3.40637E+13,UN_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,NA,NA,NA,NA,1592887.591,1047335.412
174786,3.41272E+13,Plugged oil and gas,Final Restoration,Drilled,PERRY,CLAYTON,OXFORD OIL,"PO BOX 910 ZANESVILLE, OH 43702",7404524503,950,10,39.7406936,-82.23827781,39.740763,-82.238148,NA,NA,0,0,V,NA,BURLEYFRED I. # 1,1,300,0,3215,1/22/1974 0:00,9/15/1966 0:00,3/15/1974 0:00,CLINTON SAND,NA,CLINTON SAND,127\34127225890000.pdf,NA,0,0,pl_oil_gas,FR,OXFORD OIL,BURLEY FRED I,3.41272E+13,OG_R,PO BOX 910,NA,ZANESVILLE,43702,NA,NA,NA,NA,NA,4/11/2003 0:00,NA,NA,NA,2042134.51,634128.0003
132469,3.41112E+13,Expired permit,Permit Expired,NA,MONROE,FRANKLIN,NEIHART EXPL & DEV CO,"*** RT 7 RENO, OH",6143743541,996,24,39.72620722,-81.27339613,39.72628,-81.273232,NA,NA,0,0,V,NA,MAURICE RITCHIE     # 2,2,0,0,0,7/7/1981 0:00,NA,NA,NA,NA,NA,111\34111224650000.pdf,NA,0,0,ex_permit,EX,NEIHART EXPL & DEV CO,RITCHIE MAURICE,3.41112E+13,OG_R,*** RT 7,NA,RENO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2313536.797,631089.5966
92114,3.40832E+13,Gas,Producing,Producing,KNOX,BUTLER,VALLEY PETROLEUM MANAGEMENT,"25010 DIVAN RD UTICA, OH 43080",7406684901,989,NA,40.34307483,-82.24048314,40.343141,-82.240358,NA,NA,0,0,V,NA,RAYMOND D GIFFIN #6113,1,0,0,2992,NA,6/23/1936 0:00,NA,BEREA SANDSTONE,CLINTON SAND,CLINTON SAND,083\34083200920000.pdf,NA,0,0,gas,PR,VALLEY PETROLEUM MANAGEMENT,GIFFIN RAYMOND D,3.40832E+13,OG_R,25010 DIVAN RD,NA,UTICA,43080,NA,NA,NA,NA,NA,NA,2024,0/2024,NA,2040882.067,853566.2356
239227,3.41736E+13,Plugged oil,Plugged and Abandoned,Drilled,WOOD,PERRYSBURG,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,652,NA,41.4967471,-83.61129459,41.496799,-83.611228,NA,NA,0,0,V,NA,DEVERNA  MINNIE MAE 6,6,NA,1,NA,NA,1/2/1900 0:00,11/15/1955 0:00,TRENTON LIMESTONE,NA,TRENTON LIMESTONE,173\34173605790000.pdf,NA,0,0,pl_oil,PA,HISTORIC OWNER,DEVERNA  MINNIE MAE,3.41736E+13,OG_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,NA,NA,NA,NA,1663897.389,1275797.025
214447,3.41632E+13,Plugged oil and gas,Final Restoration,Drilled,VINTON,SWAN,BELDEN & BLAKE CORPORATION,"5200 STONEHAM RD/PO BOX 2500 NORTH CANTON, OH 44720",3304991660,910,20,39.38436789,-82.46939699,39.384436,-82.469275,NA,NA,0,0,V,NA,B. DAVIS # 9-2317,9,47,1,2942,5/4/1987 0:00,5/9/1982 0:00,5/27/1987 0:00,CLINTON GROUP,NA,QUEENSTON FORMATION,163\34163207340000.pdf,Paper,0,0,pl_oil_gas,FR,BELDEN & BLAKE CORPORATION,DAVIS B,3.41632E+13,OG_R,5200 STONEHAM RD/PO BOX 2500,NA,NORTH CANTON,44720,NA,NA,NA,NA,NA,12/8/1999 0:00,1986,0/1986,NA,1977184.247,504235.0262
211258,3.41572E+13,Oil and gas,Producing,Producing,TUSCARAWAS,WAYNE,OWS ACQUISITION CO LLC,"2321 Energy Dr Louisville, OH 44641",+1 (330) 602-5551,1000,40,40.60418816,-81.6522413,40.604249,-81.65209,NA,NA,0,0,V,NA,RABER-YODER #1,1-A,75,2,4293,7/24/1984 0:00,9/14/1984 0:00,NA,CLINTON SAND,NA,QUEENSTON FORMATION,157\34157239450000.pdf,Paper,0,0,oil_gas,PR,OWS ACQUISITION CO LLC,YODER -RABER,3.41572E+13,OG_R,2321 Energy Dr,NA,Louisville,44641,NA,NA,NA,NA,NA,10/6/2025 0:00,2024,0/2024,NA,2203980.829,949704.8144
124376,3.41036E+13,NA,Final Restoration,Drilled,MEDINA,CHATHAM,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,NA,NA,NA,NA,41.10933,-82.037823,NA,NA,NA,NA,V,NA,Neilson     7 D,7 D,NA,NA,NA,NA,1/2/1900 0:00,10/8/2024 0:00,NA,NA,NA,nowellcard.htm,NA,0,0,pl_unknown,FR,HISTORIC OWNER,Neilson,3.41036E+13,OG_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,5/5/2025 0:00,NA,NA,Federal Plugged,2095914.583,1132996.43
129544,3.41E+13,Gas,Unknown status,Unknown,MERCER,FRANKLIN,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,900,NA,40.47105818,-84.52773629,40.471105,-84.527691,NA,NA,0,0,V,NA,NA,NA,NA,NA,NA,NA,1/2/1900 0:00,NA,NA,NA,NA,nowellcard.htm,NA,0,0,gas,UN,HISTORIC OWNER,NA,3.41E+13,UN_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,NA,NA,NA,NA,1404321.154,906420.1736
223370,3.41673E+13,Oil and gas,Producing,Producing,WASHINGTON,DUNHAM,Cross River Energy Inc,"119 Spence Rd.  Belpre, OH 45714",+1 (423) 470-2061,830,20,39.32454112,-81.62792595,39.324616,-81.627776,NA,NA,0,0,V,NA,T E WAGGONER # 2,2,45,1,2073,10/30/1987 0:00,12/3/1987 0:00,NA,BEREA SANDSTONE,NA,OHIO SHALE,167\34167285390000.pdf,NA,0,0,oil_gas,PR,Cross River Energy Inc,WAGGONER TF,3.41673E+13,OG_R,119 Spence Rd.,NA,Belpre,45714,NA,NA,NA,NA,NA,10/7/2015 0:00,2023,0/2024,NA,2215235.78,483637.4443
31011,3.40192E+13,Oil and gas,Producing,Producing,CARROLL,UNION,EAP OHIO LLC,"14701 Bogert Parkway   Oklahoma City, OK -2646",+1 (405) 968-3447,1126,1147.494995,NA,NA,40.549987,-81.143568,NA,NA,40.594774,-81.176626,H,UTICASHALE,Snyder CR UNI     3H,3H,0,0,26533,10/15/2024 0:00,1/2/2025 0:00,NA,NA,NA,POINT PLEASANT FORMATION,nowellcard.htm,NA,1,0,oil_gas,PR,EAP OHIO LLC,Snyder CR UNI,3.40192E+13,OG_R,14701 Bogert Parkway,NA,Oklahoma City,73134-2646,-81.176484,40.59458,-81.143905,40.549496,NA,8/21/2025 0:00,2025,Feb-25,NA,2345495.483,931658.9279
192320,3.41476E+13,Oil,Unknown status,Unknown,SENECA,JACKSON,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,742,NA,41.21541744,-83.39866736,41.215471,-83.398593,NA,NA,0,0,V,NA,NA,NA,NA,NA,NA,NA,1/2/1900 0:00,NA,NA,NA,NA,nowellcard.htm,NA,0,0,oil,UN,HISTORIC OWNER,NA,3.41476E+13,UN_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,2/23/2004 0:00,NA,NA,NA,1721160.736,1172590.795
49338,3.40432E+13,Dry hole,Final Restoration,Drilled,ERIE,FLORENCE,SUN EXPLORATION & PROD CO,"PO BOX 2880 DALLAS, TX 75221",5178395800,823,160,41.30731174,-82.35968575,41.307361,-82.359572,NA,NA,0,0,V,NA,KNIGHT     2,2,0,0,1887,11/30/1973 0:00,11/28/1973 0:00,11/30/1973 0:00,NA,NA,CLINTON SAND,043\34043200590000.pdf,Paper,0,0,dry,FR,SUN EXPLORATION & PROD CO,KNIGHT WM,3.40432E+13,OG_R,PO BOX 2880,NA,DALLAS,75221,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007101.576,1204887.625
204825,3.41552E+13,Gas,Producing,Producing,TRUMBULL,FOWLER,NICULA JOHN & MARY,"5077 WILSON SHARPSVILLE FOWLER, OH 44418",3306378416,1062,40,41.31321609,-80.63465819,41.313272,-80.634456,NA,NA,0,0,V,NA,NICULA # 1,1,450,0,4830,12/3/1980 0:00,1/23/1981 0:00,NA,CLINTON GROUP,NA,QUEENSTON FORMATION,155\34155216350000.pdf,Paper.tif,0,0,gas,PR,NICULA JOHN & MARY,NICULA,3.41552E+13,OG_R,5077 WILSON SHARPSVILLE,NA,FOWLER,44418,NA,NA,NA,NA,NA,NA,1992,0/1992,NA,2481229.609,1212309.136
91929,3.40816E+13,Plugged gas,Plugged and Abandoned,Drilled,JEFFERSON,WELLS,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,720,NA,40.22979476,-80.66409938,40.229865,-80.663899,NA,NA,0,0,V,NA,WADDEL C R 5,5,1,NA,NA,NA,1/2/1900 0:00,4/4/1917 0:00,NA,NA,NA,081\34081619990000.pdf,NA,0,0,pl_gas,PA,HISTORIC OWNER,WADDEL C R,3.40816E+13,OG_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,NA,NA,NA,NA,2481166.203,817405.18
84603,3.40752E+13,Expired permit,Permit Expired,NA,HOLMES,RICHLAND,SEVILLE DRILLING CORP,"*** 1011 W 103RD ST CENTERRE KANSAS CITY, MO 64114",9146232932,1040,20,40.45741765,-82.15611423,40.457482,-82.15599,NA,NA,0,0,V,NA,PHILLIP HOLT # 2-S,2-S,0,0,0,12/22/1982 0:00,NA,NA,NA,NA,NA,075\34075239940000.pdf,NA,0,0,ex_permit,EX,SEVILLE DRILLING CORP,HOLT PHILLIP,3.40752E+13,OG_R,*** 1011 W 103RD ST CENTERRE,NA,KANSAS CITY,64114,NA,NA,NA,NA,NA,NA,NA,NA,NA,2064243.065,895304.1715
155695,3.41192E+13,Plugged gas,Final Restoration,Drilled,MUSKINGUM,JEFFERSON,LEADER EQUITIES INC,"4770 INDIANOLA AVE COLUMBUS, OH 43214",8889588,710,22,40.09912733,-82.01073624,40.099196,-82.010595,NA,NA,0,0,V,NA,KENNETH MARTIN # 6-5131,3,150,0,3498,12/13/1988 0:00,6/15/1971 0:00,5/22/1989 0:00,CLINTON SAND,NA,GASPORT DOLOMITE,119\34119225120000.pdf,Paper,0,0,pl_gas,FR,LEADER EQUITIES INC,MARTIN SAMUEL,3.41192E+13,OG_R,4770 INDIANOLA AVE,NA,COLUMBUS,43214,NA,NA,NA,NA,NA,4/6/2007 0:00,1989,0/1989,NA,2105415.774,764960.1737
128502,3.41056E+13,Plugged gas,Plugged and Abandoned,Drilled,MEIGS,RUTLAND,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,620,NA,39.0490316,-82.11605417,39.049109,-82.115921,NA,NA,0,0,V,NA,MUTCHLER FLORENCE 3,3,NA,NA,754,1/1/1933 19:59,9/23/1933 0:00,9/8/1949 0:00,1ST COW RUN SANDSTONE,NA,COAL - GENERIC,105\34105604290000.pdf,NA,0,0,pl_gas,PA,HISTORIC OWNER,MUTCHLER FLORENCE,3.41056E+13,OG_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,NA,NA,NA,NA,2077576.901,382334.203
141014,3.41152E+13,Dry hole,Plugged and Abandoned,Drilled,MORGAN,DEERFIELD,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,915,NA,39.68508617,-81.99378805,39.685155,-81.99365,NA,NA,0,0,V,NA,WHITE HOWARD 2,2,NA,NA,4188,NA,12/15/1937 0:00,1/1/1938 0:00,NA,NA,UNKNOWN,115\34115200480000.pdf,NA,0,0,dry,PA,HISTORIC OWNER,WHITE HOWARD,3.41152E+13,OG_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,NA,NA,NA,NA,2111001.996,614165.5274
